"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NIPSNAP3B|55335",0.609326844298754,4.83159201233476,5.36367569831638,9.95082804987266e-08,8.80309588222269e-06,7.43245781185744
"CENPM|79019",-0.688282422732835,6.80792086257731,-5.36355029009074,9.95756461856752e-08,8.80309588222269e-06,7.43182245586988
"CLEC5A|23601",-0.798816210964125,6.12621557578492,-5.36020787626124,1.0138747235783e-07,8.89495183162858e-06,7.41489396130807
"CAV2|858",0.654939286067421,9.1270092335939,5.36000124216097,1.01500525394707e-07,8.89495183162858e-06,7.41384773902615
"FAM162B|221303",0.620666301408413,3.47630772042836,5.35921326259335,1.01932764877146e-07,8.89495183162858e-06,7.4098584200422
"PPAPDC1A|196051",-1.09697966071164,5.84739505394765,-5.35060204494454,1.06774187610825e-07,9.1984826731113e-06,7.36629845559852
"SYT15|83849",0.677464732532062,5.83395099185064,5.34646822215168,1.09176772980861e-07,9.32835181569045e-06,7.34541102844568
"FXYD1|5348",1.16373478757866,4.36816751816432,5.34642319440734,1.09203229455107e-07,9.32835181569045e-06,7.34518359594396
"KIF2C|11004",-0.787107777184407,8.31291436481196,-5.34457475449495,1.10294676534366e-07,9.38199885058085e-06,7.3358488003887
"EZH2|2146",-0.545681760994581,8.42211938859303,-5.34332458789007,1.1103884641872e-07,9.40011864216531e-06,7.32953707496778
"TK1|7083",-0.678508994169226,9.67270961329003,-5.34243674927428,1.11570290524581e-07,9.40011864216531e-06,7.32505548708493
"KLHL31|401265",0.743735974539069,5.21387220420911,5.34188691443342,1.11900646715823e-07,9.40011864216531e-06,7.32228041173657
"NUAK2|81788",-0.515814020463115,7.48605077677949,-5.33543959317247,1.15845801339118e-07,9.69131507483653e-06,7.28976028274458
"LDB2|9079",0.537765283523253,7.95282512174123,5.33021200846165,1.19143221986866e-07,9.92615032561357e-06,7.26341979528696
"EDA|1896",0.518184227718026,5.73343721006455,5.32868014284891,1.20126588912463e-07,9.9670606251345e-06,7.25570574469291
"E2F8|79733",-0.842138781132092,6.05125705350699,-5.32664096832275,1.21447827095118e-07,1.00355561613905e-05,7.24544028750208
"KIFC1|3833",-0.706659092464772,8.75636823594602,-5.32580074567295,1.21996317151059e-07,1.00399001655414e-05,7.24121158588283
"ANGPT4|51378",0.623701272249333,1.31554208324663,5.32442444994968,1.22899940364004e-07,1.00733169743695e-05,7.23428628315605
"CDC20|991",-0.816322456487566,8.70133509425891,-5.32227196793593,1.24326193463889e-07,1.01083686211905e-05,7.22345873494257
"FOXM1|2305",-0.794954785532393,9.25575380017669,-5.3093371881334,1.33240664578733e-07,1.07041954539542e-05,7.15848080855404
